name,genre,director,country,year,rating
«Спартак». Действующие лица и… болельщики,"документальный, спорт","Илья Гутман, Иосиф Пастернак",СССР,1985,No_IMDB_link
«Чудотворец» из Бирюлёва,игровое кино,Борис Эпштейн,СССР,1958,No_IMDB_link
? (фильм),драма,Ханун Брамантйо,Индонезия,2011,6.9
…а пятый всадник — Страх,"драма, военный, арт-хаус",Збынек Брыных,Чехословакия,1965,7.2
…и передайте привет ласточкам,"драма, военный",Яромил Йиреш,Чехословакия,1972,6.8
…И прекрасный миг победы,спортивный фильм,Вячеслав Винник,СССР,1984,3.8
…которого любили все,"документально, биографический фильм",Леонид Осыка,СССР,1982,7.2
"«Москвич», любовь моя",драма,Арам Шахбазян,"Армения, Франция, Россия",2015,7.9
«SOS» над тайгой,"драма, приключения",Аркадий Кольцатый,СССР,1976,5.3
(Не)бывшие,"драма, мелодрама",Стефан Бризе,Франция,2023,6.4
(Не)идеальные роботы,"романтическая комедия, научно-фантастический фильм","Энтони Хайнс, Каспер Кристенсен",США,2023,5.5
5 причин не влюбиться в казаха,комедия,Аскар Узабаев,Казахстан,2017,No_IMDB_link
(Почти) пять Докторов: Перезагрузка,"комедийный фильм, кинопародия",Питер Дэвисон,Великобритания,YEAR,8.5
0-41*,"документальный, драма, комедия",Сенна Хегде,Индия,2016,8.9
1 (документальный фильм),документальный,Пол Краудер,США,2013,7.9
1 % (фильм),криминальный,Стив МакКаллум,Австралия,2017,5.3
1 миля до тебя,"драма, мелодрама",Лейф Тильден,США,2017,6.3
01-99,комедия,Амасий Мартиросян,СССР,1959,7.7
1+1 (фильм),"комедийная драма, бадди-муви","Оливье Накаш, Эрик Толедано",Франция,2011,8.5
1+1: Голливудская история,комедийная драма,Нил Бёргер,США,2017,7.1
2 дня в Париже,"комедия, драма, мелодрама",Жюли Дельпи,"Франция, Германия",2007,6.7
2 дурня в снегу,комедия,Жан-Луи Гийерму,Франция,1977,3.2
2 секунды,комедия,Манон Брайан,Канада,1998,6.6
13 друзей хунты,документальный,Director,Россия,2014,No_IMDB_link
2 Girls 1 Cup,"порнофильм, ЛГБТ-фильм",Марко Фиорито,Бразилия,2007,4.1
2-Асса-2,драма,Сергей Соловьёв,Россия,2008,4.6
2:22,триллер,Пол Карри,"США, Австралия",2017,5.7
2:37,драма,Мулари К. Теллури,Австралия,2006,6.8
2+1,"драма, семейный, Музыка к фильму",Юго Желен,"Франция, Великобритания",2016,7.3
2pac: Легенда,"байопик, драма, боевик",Бенни Бум,США,2017,5.9
3 гигантских человека,супергеройский фильм,Tevfik Fikret Uçak,Country,YEAR,4.0
3 идиота,"комедия, драма",Раджкумар Хирани,Индия,2009,8.4
"3 идиота (фильм, 2017)","комедия, семейный фильм",Карлос Боладо,Мексика,2017,4.4
3 ночи в пустыне,драма,Гэбриэль Коуэн,США,2014,4.6
3: История Дейла Эрнхардта,"биографическая, спортивная, драма",Рассел Малкэхи,США,YEAR,6.8
4 (фильм),драма,Илья Хржановский,"Россия, Нидерланды",2004,6.5
4 американских композитора,"документальный, музыкальный",Питер Гринуэй,Великобритания,1983,7.3
4 дня в мае,"военная, драма, боевик",Ахим фон Боррис,"Германия, Украина, Россия",2011,6.4
4 листа фанеры,детектив,"Иван Гаврилюк, Сайдо Курбанов",Украина,1992,5.4
4 маленькие девочки,Исторический документальный,Спайк Ли,США,1997,7.8
"4 месяца, 3 недели и 2 дня",драма,Кристиан Мунджиу,Румыния,2007,7.9
4 x 4 (фильм),"драма, комедия","Рольф Клеменс, Палле Кьерулф-Шмидт, Мауну Куркваара","Финляндия, Норвегия, Швеция, Дания",1965,6.7
4:0 в пользу Танечки,комедия,Радомир Василевский,СССР,1982,6.9
4:44. Последний день на Земле,"драма, фантастика",Абель Феррара,США,2011,4.7
4.3.2.1,"триллер, электро-хаус, соул, R’n’B, хип-хоп, грайм",Ноэль Кларк,Великобритания,2010,5.8
5 дней в августе,"военный, боевик",Ренни Харлин,"США, Грузия",2011,5.6
5 недель (фильм),трагикомедия,Александр Андреев,Россия,2021,4.7
5 неизвестных,триллер,Симон Бранд,США,2006,6.4
5 разбитых камер,документальный фильм,"Эмад Бурнат, Гай Давиди","Израиль, ПНА, Франция, Нидерланды",2011,7.9
"5 сантиметров в секунду (фильм, 2025)",Genre,Ёсиюки Окуяма,Япония,2025,7.3
5 терапия,"драма, триллер, биография",Алиса Павловская,Украина,2017,7.3
5-я волна,"постапокалиптика, научная фантастика",Дж. Блэйксон,США,2016,5.2
5×2,"мелодрама, драма",Франсуа Озон,Франция,2004,6.6
6 дней,"боевик, триллер",Тоа Фрейзер,"Великобритания, Новая Зеландия",2017,6.2
6-й день,"фантастика, триллер",Роджер Споттисвуд,США,2000,5.9
7 главных желаний,"комедия, мелодрама",Вадим Соколовский,Россия,2013,1.5
7 дней в Сирии,документальный фильм,Роберт Риппбергер,США,2015,7.3
7 дней до смерти,"драма, фильм ужасов, триллер",Себастьян Ниман,"США, Германия, Чехия",2000,5.1
7 дней и ночей с Мэрилин,"драма, биография",Саймон Кёртис,Великобритания,2011,6.9
"7 дней, 7 ночей (фильм, 2024)",семейный фильм,Айк Кбеян,Россия,2024,6.2
7 женщин,драма,Джон Форд,США,1966,6.7
7 секунд (фильм),боевик,Саймон Феллоуз,"США, Румыния, Швейцария, Великобритания",2005,4.8
7 ящиков,"триллер, криминал","Хуан Карлос Манелья, Тана Шембори",Парагвай,2012,7.1
07-й меняет курс,"боевик, драма",Владимир Потапов,Россия,2007,5.6
007: Координаты «Скайфолл»,шпионский фильм,Сэм Мендес,"Великобритания, США",2012,7.8
007: Спектр,шпионский фильм,Сэм Мендес,"Великобритания, США",2015,6.8
7:35 утра,"короткометражный, музыкальный",Начо Вигалондо,"Испания, 1",2003,7.3
8 (фильм),драма,Хулио Медем,Испания,2025,5.6
8 ½ $,криминальная комедия,Григорий Константинопольский,Россия,1999,6.3
8 женщин (фильм),"мюзикл, комедия, детектив",Франсуа Озон,"Франция, Италия",2002,7.0
8 лучших свиданий,"комедия, мелодрама",Марюс Вайсберг,"Россия, Украина",2016,3.9
